GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "16000","Idaho",7,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",722675,777663,798092,951231,1324115,1536336,1394172,1380682,1318560,1703463,2118987,2364935,2468955,2268100,2450348,2476200,2254371,2113696,2373685,2738576,3098365,3240136,3023914,3115235,3224951,3310020,3477553,3622776,3570471,3583511,3595021,3684657,4163233,4281845,4290071,4777231,4881605,4952963,6089856,6561486,5441576,6200773,7536161,8006714,8378899,9039347,7600157,7306148,7434762,7627388,8261172,8314251
 "16000","Idaho",7,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",365891,405457,422816,507723,600998,516852,615054,576808,617620,816645,1206658,1121513,1187623,1035967,1076733,1100543,1078239,1073269,1175298,1360522,1396896,1560021,1435133,1530501,1521106,1559711,1554052,1590677,1719084,1862272,1892870,1911925,2393927,2326985,2534856,2910031,2958113,2776217,3645577,3690143,2811249,3509520,4243709,4281226,4882866,5776904,4639455,4372717,4492903,4486048,4985044,4938310
 "16000","Idaho",7,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",292912,324997,337027,418352,491542,396199,483979,430598,468627,650470,1006568,879590,903331,741409,774068,812252,779588,789115,898291,1062867,1059229,1193155,1104120,1148202,1119938,1089064,1033191,922110,1070841,1018213,1045022,1136582,1338267,1396885,1513850,1535712,1527176,1481132,1580656,1556475,1353628,1578610,1774852,1809968,2263610,2530997,2200764,1977467,1938161,2045106,2089579,1895023
 "16000","Idaho",7,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",247803,283251,298388,378986,441889,347513,439442,388586,430820,602438,955029,824088,835533,652981,688363,723779,698310,705394,805265,975852,980983,1114288,1023647,1073623,1039361,1006146,944962,827072,972884,927481,951810,1037583,1245459,1302296,1421382,1436585,1428571,1375627,1463221,1445973,1218760,1447912,1613829,1625435,2090958,2344665,2037493,1820970,1778936,1900495,1948912,1759977
 "16000","Idaho",7,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",12770,12815,11804,13699,16430,13715,13596,11009,7947,13123,14341,18047,28441,27133,25770,25975,20263,21681,18119,15205,13432,16249,15930,13386,16894,14934,13295,15056,12934,7365,6997,8539,8761,8833,8122,6262,6215,6758,10813,12304,13330,16330,20298,33622,30594,32334,20162,11326,11709,17709,19348,25423
 "16000","Idaho",7,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",32339,28931,26835,25667,33223,34971,30941,31003,29860,34909,37198,37455,39357,61295,59935,62498,61015,62040,74907,71810,64814,62618,64543,61193,63683,67984,74934,79982,85023,83367,86215,90460,84047,85756,84346,92865,92390,98747,106622,98198,121538,114368,140725,150911,142058,153998,143109,145171,147516,126902,121319,109623
 "16000","Idaho",7,SAINC45,40,"...","  Dairy products","Thousands of dollars",62036,69589,76096,82866,100076,112473,123214,137202,140743,158187,192121,233773,273473,283541,291487,274743,288863,274131,267950,288960,322260,354410,318570,370800,387960,456330,508130,652605,633819,829110,834080,762034,1042740,917786,1004985,1358400,1418060,1282896,2050204,2100564,1430514,1899154,2433216,2421512,2572800,3197502,2352043,2356590,2511888,2373414,2851390,2985300
 "16000","Idaho",7,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",10943,10871,9693,6505,9380,8180,7861,9008,8250,7988,7969,8150,10819,11017,11178,13548,9788,10023,9057,8695,15407,12456,12443,11499,13208,14317,12731,15962,14424,14949,13768,13309,12920,12314,16021,15919,12877,12189,14717,33104,27107,31756,35641,49746,46456,48405,86648,38660,42854,67528,44075,57987
 "16000","Idaho",7,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",356784,372206,375276,443508,723117,1019484,779118,803874,700940,886818,912329,1243422,1281332,1232133,1373615,1375657,1176132,1040427,1198387,1378054,1701469,1680115,1588781,1584734,1703845,1750309,1923501,2032099,1851387,1721239,1702151,1772732,1769306,1954860,1755215,1867200,1923492,2176746,2444279,2871343,2630327,2691253,3292452,3725488,3496033,3262443,2960702,2933431,2941859,3141340,3276128,3375941
 "16000","Idaho",7,SAINC45,70,"...","  Total grains","Thousands of dollars",80851,98258,92936,135784,219577,313452,278045,236860,197565,317776,303337,484178,496406,488313,480729,504447,414813,399238,410935,515841,616430,535535,531634,525139,487582,550739,634107,663578,618761,453988,427698,487565,455417,513723,475012,553963,572966,555920,727571,889563,906787,915079,1112636,1415049,1255901,1127295,901454,888038,819366,937534,899837,965613
 "16000","Idaho",7,SAINC45,71,"...","   Corn","Thousands of dollars",960,997,2137,2200,5373,6885,6131,5908,5197,7105,7839,7338,10679,9604,13699,22771,15889,9329,7922,12303,6856,10191,10950,12695,8692,10739,11145,14782,13976,14965,14540,15573,14478,12661,13924,18935,20043,19263,35339,62572,53449,73459,114246,161429,137027,85177,59579,67497,80120,101696,118553,129454
 "16000","Idaho",7,SAINC45,72,"...","   Oats","Thousands of dollars",2053,2186,1940,1529,2692,2669,1893,1328,1006,2101,2044,3380,2902,2241,4055,3469,1451,902,1830,4291,4142,2061,1422,1073,1073,852,1143,1661,1407,1289,1068,1158,1070,1382,1244,1198,1574,2162,2849,863,1993,2168,1756,1717,2549,2686,2020,1680,1270,1598,2282,2438
 "16000","Idaho",7,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "16000","Idaho",7,SAINC45,74,"...","   Wheat","Thousands of dollars",52905,69001,56074,96364,153822,231296,212727,161008,134099,236039,202089,350101,274251,336237,308435,302245,212095,187493,226304,304004,363371,273409,308360,334875,295489,335874,405024,421508,403860,260326,232099,302713,261398,311676,258564,334234,336440,357485,491547,511525,546679,556672,681486,841008,673528,646917,451069,440933,416324,520091,445327,517482
 "16000","Idaho",7,SAINC45,75,"...","   Soybeans","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "16000","Idaho",7,SAINC45,76,"...","   Other grains","Thousands of dollars",24933,26074,32785,35691,57690,72602,57294,68616,57263,72531,91365,123359,208574,140231,154540,175962,185378,201514,174879,195243,242061,249874,210902,176496,182328,203274,216795,225627,199518,177408,179991,168121,178471,188004,201280,199596,214909,177010,197836,314603,304666,282780,315148,410895,442797,392515,388786,377928,321652,314149,333675,316239
